Poll,Dates,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
Politico/Morning Consult,08/01/19-08/01/19,2419 RV,32,18,15,NA,6,1,2,1,1,0,NA
Politico/Morning Consult,08/01/19-08/04/19,9845 RV,33,19,15,NA,6,1,2,1,1,0,NA
Reuters/Ipsos,08/01/19-08/05/19,RV,25,20,10,NA,5,1,2,0,1,0,NA
SurveyUSA,08/01/19-08/05/19,999 LV,33,20,19,NA,8,1,0,0,0,0,NA
Quinnipiac,08/01/19-08/05/19,807 RV,32,14,21,NA,5,1,1,0,1,0,NA
Economist/YouGov,08/03/19-08/06/19,1161 RV,25,13,18,NA,7,1,2,1,3,1,NA
Politico/Morning Consult,08/05/19-08/11/19,17117,33,20,14,NA,5,1,2,1,1,1,NA
The Hill/HarrisX,08/09/19-08/10/19,451 RV,31,16,10,NA,4,2,1,1,1,0,NA
Economist/YouGov,08/10/19-08/13/19,RV,23,16,20,NA,6,1,2,1,2,1,NA
FOX News,08/11/19-08/13/19,,31,10,20,NA,3,2,3,1,1,0,NA
Politico/Morning Consult,08/12/19-08/18/19,17115 RV,31,20,15,NA,5,1,3,1,1,0,NA
CNN,08/15/19-08/18/19,402 RV,29,15,14,NA,5,1,1,1,2,0,NA
Monmouth,08/16/19-08/20/19,298 RV,19,20,20,NA,4,1,3,0,1,0,NA
Economist/YouGov,08/17/19-08/20/19,RV,22,19,18,NA,8,0,1,0,2,0,NA
Politico/Morning Consult,08/19/19-08/25/19,17303 RV,33,20,15,NA,5,1,2,1,1,1,NA
USA Today/Suffolk,08/20/19-08/25/19,424 RV,32,12,14,NA,6,0,3,0,0,0,NA
The Hill/HarrisX,08/23/19-08/24/19,1001 RV,30,17,14,NA,4,1,2,1,1,1,NA
Quinnipiac,08/21/19-08/26/19,1422 RV,32,15,19,NA,5,1,3,0,1,1,NA
Emerson,08/24/19-08/26/19,627 RV,31,24,15,NA,3,1,4,0,3,0,NA
