Poll,End_Day,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
Politico/Morning Consult,0,2419 RV,32,18,15,NA,6,1,2,1,1,0,NA
Politico/Morning Consult,3,9845 RV,33,19,15,NA,6,1,2,1,1,0,NA
Quinnipiac,4,807 RV,32,14,21,NA,5,1,1,0,1,0,NA
SurveyUSA,4,999 LV,33,20,19,NA,8,1,0,0,0,0,NA
Reuters/Ipsos,4,RV,25,20,10,NA,5,1,2,0,1,0,NA
Economist/YouGov,5,1161 RV,25,13,18,NA,7,1,2,1,3,1,NA
The Hill/HarrisX,9,451 RV,31,16,10,NA,4,2,1,1,1,0,NA
Politico/Morning Consult,10,17117,33,20,14,NA,5,1,2,1,1,1,NA
FOX News,12,,31,10,20,NA,3,2,3,1,1,0,NA
Economist/YouGov,12,RV,23,16,20,NA,6,1,2,1,2,1,NA
CNN,17,402 RV,29,15,14,NA,5,1,1,1,2,0,NA
Politico/Morning Consult,17,17115 RV,31,20,15,NA,5,1,3,1,1,0,NA
Economist/YouGov,19,RV,22,19,18,NA,8,0,1,0,2,0,NA
Monmouth,19,298 RV,19,20,20,NA,4,1,3,0,1,0,NA
The Hill/HarrisX,23,1001 RV,30,17,14,NA,4,1,2,1,1,1,NA
USA Today/Suffolk,24,424 RV,32,12,14,NA,6,0,3,0,0,0,NA
Politico/Morning Consult,24,17303 RV,33,20,15,NA,5,1,2,1,1,1,NA
Emerson,25,627 RV,31,24,15,NA,3,1,4,0,3,0,NA
Quinnipiac,25,1422 RV,32,15,19,NA,5,1,3,0,1,1,NA
Economist/YouGov,26,511 RV,25,14,21,NA,5,1,2,1,2,1,NA
Harvard-Harris,27,951 RV,32,16,13,NA,4,1,2,1,1,NA,NA
IBD/TIPP,29,360 RV,28,12,24,NA,5,1,1,0,0,0,NA
Politico/Morning Consult,31,16736 RV,32,20,16,NA,5,1,3,1,1,1,NA
Economist/YouGov,33,,26,14,22,NA,5,0,3,0,3,1,NA
ABC News/Wash Post,35,437 RV,29,19,18,NA,4,2,3,1,2,0,NA
The Hill/HarrisX,38,454 RV,27,15,12,NA,4,1,5,1,1,1,NA
Politico/Morning Consult,38,17824 RV,33,21,16,NA,5,1,3,1,1,1,NA
LA Times/USC,38,2462 LV,28,13,11,NA,4,1,2,0,1,0,NA
CNN,39,908 RV,24,17,18,NA,6,1,2,1,2,1,NA
Reuters/Ipsos,40,RV,22,16,11,NA,4,1,3,1,1,0,NA
Economist/YouGov,40,1188 RV,26,16,26,NA,6,1,2,0,1,1,NA
Politico/Morning Consult,45,7487 RV,32,20,18,NA,5,2,3,1,1,0,NA
NBC News/Wall St. Jrnl,46,506 RV,31,14,25,NA,7,2,4,1,1,1,NA
SurveyUSA,46,1017 LV,33,17,19,NA,5,1,3,NA,NA,NA,NA
FOX News,47,RV,29,18,16,NA,5,2,2,1,0,1,NA
Economist/YouGov,47,567 RV,26,14,21,NA,9,1,3,0,2,1,NA
The Hill/HarrisX,51,440 RV,31,16,14,NA,5,2,2,1,1,1,NA
Politico/Morning Consult,52,17377 RV,32,19,20,NA,5,2,3,1,1,1,NA
Emerson,53,1019 RV,25,22,23,NA,6,0,8,0,1,0,NA
Quinnipiac,53,561 RV,25,16,27,NA,7,2,2,0,1,1,NA
Economist/YouGov,54,1198 RV,26,16,27,NA,6,1,2,0,1,1,NA
Harvard-Harris,54,2009 RV,28,16,17,NA,3,1,3,2,1,NA,NA
Monmouth,59,434 RV,25,15,28,NA,5,1,2,1,0,0,NA
Politico/Morning Consult,59,16274 RV,32,19,21,NA,5,1,3,1,1,1,NA
Economist/YouGov,61,1087 RV,22,13,28,NA,7,1,3,1,2,2,NA
IBD/TIPP,63,341 RV,26,10,27,NA,7,1,3,0,1,0,NA
Politico/Morning Consult,66,16529 RV,33,19,21,NA,5,1,3,1,1,1,NA
The Hill/HarrisX,67,446 RV,31,17,15,NA,4,2,2,2,1,1,NA
Quinnipiac,67,646 RV,26,16,29,NA,4,2,3,0,0,1,NA
Economist/YouGov,68,1241RV 2.9,25,14,29,NA,5,1,3,1,1,0,NA
FOX News,68,,32,17,22,NA,4,2,2,1,1,1,NA
Politico/Morning Consult,72,15683 RV,32,19,21,NA,5,1,3,1,1,1,NA
