Poll,End_Day,Week,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
Politico/Morning Consult,0,0,2419 RV,32,18,15,NA,6,1,2,1,1,0,NA
Politico/Morning Consult,3,0,9845 RV,33,19,15,NA,6,1,2,1,1,0,NA
Quinnipiac,4,0,807 RV,32,14,21,NA,5,1,1,0,1,0,NA
SurveyUSA,4,0,999 LV,33,20,19,NA,8,1,0,0,0,0,NA
Reuters/Ipsos,4,0,RV,25,20,10,NA,5,1,2,0,1,0,NA
Economist/YouGov,5,0,1161 RV,25,13,18,NA,7,1,2,1,3,1,NA
The Hill/HarrisX,9,1,451 RV,31,16,10,NA,4,2,1,1,1,0,NA
Politico/Morning Consult,10,1,17117,33,20,14,NA,5,1,2,1,1,1,NA
FOX News,12,1,,31,10,20,NA,3,2,3,1,1,0,NA
Economist/YouGov,12,1,RV,23,16,20,NA,6,1,2,1,2,1,NA
CNN,17,2,402 RV,29,15,14,NA,5,1,1,1,2,0,NA
Politico/Morning Consult,17,2,17115 RV,31,20,15,NA,5,1,3,1,1,0,NA
Economist/YouGov,19,2,RV,22,19,18,NA,8,0,1,0,2,0,NA
Monmouth,19,2,298 RV,19,20,20,NA,4,1,3,0,1,0,NA
The Hill/HarrisX,23,3,1001 RV,30,17,14,NA,4,1,2,1,1,1,NA
USA Today/Suffolk,24,3,424 RV,32,12,14,NA,6,0,3,0,0,0,NA
Politico/Morning Consult,24,3,17303 RV,33,20,15,NA,5,1,2,1,1,1,NA
Emerson,25,3,627 RV,31,24,15,NA,3,1,4,0,3,0,NA
Quinnipiac,25,3,1422 RV,32,15,19,NA,5,1,3,0,1,1,NA
Economist/YouGov,26,3,511 RV,25,14,21,NA,5,1,2,1,2,1,NA
Harvard-Harris,27,3,951 RV,32,16,13,NA,4,1,2,1,1,NA,NA
IBD/TIPP,29,4,360 RV,28,12,24,NA,5,1,1,0,0,0,NA
Politico/Morning Consult,31,4,16736 RV,32,20,16,NA,5,1,3,1,1,1,NA
Economist/YouGov,33,4,,26,14,22,NA,5,0,3,0,3,1,NA
ABC News/Wash Post,35,5,437 RV,29,19,18,NA,4,2,3,1,2,0,NA
The Hill/HarrisX,38,5,454 RV,27,15,12,NA,4,1,5,1,1,1,NA
Politico/Morning Consult,38,5,17824 RV,33,21,16,NA,5,1,3,1,1,1,NA
LA Times/USC,38,5,2462 LV,28,13,11,NA,4,1,2,0,1,0,NA
CNN,39,5,908 RV,24,17,18,NA,6,1,2,1,2,1,NA
Reuters/Ipsos,40,5,RV,22,16,11,NA,4,1,3,1,1,0,NA
Economist/YouGov,40,5,1188 RV,26,16,26,NA,6,1,2,0,1,1,NA
Politico/Morning Consult,45,6,7487 RV,32,20,18,NA,5,2,3,1,1,0,NA
NBC News/Wall St. Jrnl,46,6,506 RV,31,14,25,NA,7,2,4,1,1,1,NA
SurveyUSA,46,6,1017 LV,33,17,19,NA,5,1,3,NA,NA,NA,NA
FOX News,47,6,RV,29,18,16,NA,5,2,2,1,0,1,NA
Economist/YouGov,47,6,567 RV,26,14,21,NA,9,1,3,0,2,1,NA
The Hill/HarrisX,51,7,440 RV,31,16,14,NA,5,2,2,1,1,1,NA
Politico/Morning Consult,52,7,17377 RV,32,19,20,NA,5,2,3,1,1,1,NA
Emerson,53,7,1019 RV,25,22,23,NA,6,0,8,0,1,0,NA
Quinnipiac,53,7,561 RV,25,16,27,NA,7,2,2,0,1,1,NA
Economist/YouGov,54,7,1198 RV,26,16,27,NA,6,1,2,0,1,1,NA
Harvard-Harris,54,7,2009 RV,28,16,17,NA,3,1,3,2,1,NA,NA
Monmouth,59,8,434 RV,25,15,28,NA,5,1,2,1,0,0,NA
Politico/Morning Consult,59,8,16274 RV,32,19,21,NA,5,1,3,1,1,1,NA
Economist/YouGov,61,8,1087 RV,22,13,28,NA,7,1,3,1,2,2,NA
IBD/TIPP,63,9,341 RV,26,10,27,NA,7,1,3,0,1,0,NA
Politico/Morning Consult,66,9,16529 RV,33,19,21,NA,5,1,3,1,1,1,NA
The Hill/HarrisX,67,9,446 RV,31,17,15,NA,4,2,2,2,1,1,NA
Quinnipiac,67,9,646 RV,26,16,29,NA,4,2,3,0,0,1,NA
Economist/YouGov,68,9,1241RV 2.9,25,14,29,NA,5,1,3,1,1,0,NA
FOX News,68,9,,32,17,22,NA,4,2,2,1,1,1,NA
Politico/Morning Consult,72,10,15683 RV,32,19,21,NA,5,1,3,1,1,1,NA
Quinnipiac,73,10,RV,27,11,30,NA,8,2,2,2,0,1,NA
Economist/YouGov,75,10,1136 RV,25,13,29,NA,7,2,2,1,3,1,NA
Politico/Morning Consult,76,10,2202 RV,31,18,21,NA,6,2,3,2,1,1,NA
SurveyUSA,76,10,1071 LV,32,17,22,NA,5,2,2,1,1,NA,NA
CNN,80,11,424 RV,34,16,19,NA,6,3,2,1,1,1,NA
Politico/Morning Consult,80,11,11521 RV,30,18,21,NA,6,2,3,1,1,1,NA
Emerson,81,11,430 RV,27,25,21,NA,6,1,4,1,3,0,NA
Quinnipiac,81,11,713 RV,21,15,28,NA,10,3,1,1,1,0,NA
The Hill/HarrisX,82,11,1001 RV,27,14,19,NA,6,1,2,1,0,1,NA
Economist/YouGov,82,11,1204 RV,24,16,23,NA,8,2,3,1,2,1,NA
USA Today/Suffolk,86,12,1000 RV,26,13,17,NA,10,2,3,1,4,0,NA
Politico/Morning Consult,87,12,15431 RV,32,20,20,NA,7,2,3,1,2,1,NA
Economist/YouGov,89,12,597 RV,27,14,23,NA,7,2,3,1,2,1,NA
NBC News/Wall St. Jrnl,90,12,414 RV,27,19,23,NA,6,5,3,0,2,1,NA
ABC News/Wash Post,90,12,452 RV,28,17,23,NA,9,2,2,1,2,1,NA
FOX News,90,12,471 RV,31,19,21,NA,7,2,3,1,2,0,NA
Harvard-Harris,91,13,RV,33,18,15,NA,4,3,2,1,0,NA,NA
IBD/TIPP,91,13,361 RV,29,13,23,NA,7,3,3,1,0,0,NA
The Hill/HarrisX,93,13,429 RV,26,14,15,NA,6,3,1,1,1,1,NA
Monmouth,94,13,RV,23,20,23,NA,9,2,3,1,0,0,NA
Politico/Morning Consult,94,13,16071 RV,32,20,20,NA,7,2,3,1,2,1,NA
LA Times/USC,94,13,2599 LV,28,13,16,NA,6,2,2,1,1,0,NA
Economist/YouGov,96,13,1201 RV,26,14,25,NA,8,2,1,1,3,0,NA
Politico/Morning Consult,101,14,16400 RV,32,20,19,2,8,2,3,1,1,1,NA
Economist/YouGov,103,14,600 LV,23,17,26,NA,9,2,4,1,2,0,NA
The Hill/HarrisX,108,15,449 RV,30,18,15,3,7,1,2,1,1,1,NA
Politico/Morning Consult,108,15,17050 RV,32,20,17,3,8,2,3,1,2,1,NA
Economist/YouGov,110,15,586 RV,30,12,22,NA,9,2,2,1,3,1,NA
Emerson,111,15,468 RV,27,27,20,1,7,1,4,2,2,0,NA
SurveyUSA,112,16,1088 LV,30,17,15,3,11,2,4,2,1,NA,1
CNN,115,16,431 RV,28,17,14,3,11,2,3,3,0,0,0
Politico/Morning Consult,115,16,8102 RV,30,21,15,2,9,2,4,2,2,1,0
Quinnipiac,116,16,1355 RV,24,13,14,3,16,3,2,0,1,2,0
Economist/YouGov,117,16,550 RV,23,15,17,3,12,3,3,1,2,0,1
Harvard-Harris,120,17,756 RV,29,16,13,7,8,2,3,2,1,NA,NA
The Hill/HarrisX,122,17,437 RV,31,15,10,6,9,2,2,2,0,1,1
Politico/Morning Consult,122,17,15773 RV,29,20,15,5,9,2,4,2,2,1,0
Economist/YouGov,124,17,541 LV,27,13,18,3,12,3,2,0,2,1,1
Monmouth,129,18,384 RV,26,21,17,5,8,4,3,1,0,0,1
Politico/Morning Consult,129,18,15442 RV,30,22,16,6,9,2,4,3,2,1,0
Quinnipiac,130,18,665 RV,29,17,15,5,9,3,4,1,2,1,0
Economist/YouGov,131,18,497 LV,26,16,21,4,11,2,3,1,3,1,0
