Poll,End_Day,Sample,Week,Candidate,Percentage
Politico/Morning Consult,0,2419 RV,0,Biden,32
Politico/Morning Consult,0,2419 RV,0,Sanders,18
Politico/Morning Consult,0,2419 RV,0,Warren,15
Politico/Morning Consult,0,2419 RV,0,Bloomberg,NA
Politico/Morning Consult,0,2419 RV,0,Buttigieg,6
Politico/Morning Consult,0,2419 RV,0,Klobuchar,1
Politico/Morning Consult,0,2419 RV,0,Yang,2
Politico/Morning Consult,0,2419 RV,0,Steyer,1
Politico/Morning Consult,0,2419 RV,0,Gabbard,1
Politico/Morning Consult,0,2419 RV,0,Bennet,0
Politico/Morning Consult,0,2419 RV,0,Patrick,NA
Politico/Morning Consult,3,9845 RV,0,Biden,33
Politico/Morning Consult,3,9845 RV,0,Sanders,19
Politico/Morning Consult,3,9845 RV,0,Warren,15
Politico/Morning Consult,3,9845 RV,0,Bloomberg,NA
Politico/Morning Consult,3,9845 RV,0,Buttigieg,6
Politico/Morning Consult,3,9845 RV,0,Klobuchar,1
Politico/Morning Consult,3,9845 RV,0,Yang,2
Politico/Morning Consult,3,9845 RV,0,Steyer,1
Politico/Morning Consult,3,9845 RV,0,Gabbard,1
Politico/Morning Consult,3,9845 RV,0,Bennet,0
Politico/Morning Consult,3,9845 RV,0,Patrick,NA
Quinnipiac,4,807 RV,0,Biden,32
Quinnipiac,4,807 RV,0,Sanders,14
Quinnipiac,4,807 RV,0,Warren,21
Quinnipiac,4,807 RV,0,Bloomberg,NA
Quinnipiac,4,807 RV,0,Buttigieg,5
Quinnipiac,4,807 RV,0,Klobuchar,1
Quinnipiac,4,807 RV,0,Yang,1
Quinnipiac,4,807 RV,0,Steyer,0
Quinnipiac,4,807 RV,0,Gabbard,1
Quinnipiac,4,807 RV,0,Bennet,0
Quinnipiac,4,807 RV,0,Patrick,NA
SurveyUSA,4,999 LV,0,Biden,33
SurveyUSA,4,999 LV,0,Sanders,20
SurveyUSA,4,999 LV,0,Warren,19
SurveyUSA,4,999 LV,0,Bloomberg,NA
SurveyUSA,4,999 LV,0,Buttigieg,8
SurveyUSA,4,999 LV,0,Klobuchar,1
SurveyUSA,4,999 LV,0,Yang,0
SurveyUSA,4,999 LV,0,Steyer,0
SurveyUSA,4,999 LV,0,Gabbard,0
SurveyUSA,4,999 LV,0,Bennet,0
SurveyUSA,4,999 LV,0,Patrick,NA
Reuters/Ipsos,4,RV,0,Biden,25
Reuters/Ipsos,4,RV,0,Sanders,20
Reuters/Ipsos,4,RV,0,Warren,10
Reuters/Ipsos,4,RV,0,Bloomberg,NA
Reuters/Ipsos,4,RV,0,Buttigieg,5
Reuters/Ipsos,4,RV,0,Klobuchar,1
Reuters/Ipsos,4,RV,0,Yang,2
Reuters/Ipsos,4,RV,0,Steyer,0
Reuters/Ipsos,4,RV,0,Gabbard,1
Reuters/Ipsos,4,RV,0,Bennet,0
Reuters/Ipsos,4,RV,0,Patrick,NA
Economist/YouGov,5,1161 RV,0,Biden,25
Economist/YouGov,5,1161 RV,0,Sanders,13
Economist/YouGov,5,1161 RV,0,Warren,18
Economist/YouGov,5,1161 RV,0,Bloomberg,NA
Economist/YouGov,5,1161 RV,0,Buttigieg,7
Economist/YouGov,5,1161 RV,0,Klobuchar,1
Economist/YouGov,5,1161 RV,0,Yang,2
Economist/YouGov,5,1161 RV,0,Steyer,1
Economist/YouGov,5,1161 RV,0,Gabbard,3
Economist/YouGov,5,1161 RV,0,Bennet,1
Economist/YouGov,5,1161 RV,0,Patrick,NA
The Hill/HarrisX,9,451 RV,1,Biden,31
The Hill/HarrisX,9,451 RV,1,Sanders,16
The Hill/HarrisX,9,451 RV,1,Warren,10
The Hill/HarrisX,9,451 RV,1,Bloomberg,NA
The Hill/HarrisX,9,451 RV,1,Buttigieg,4
The Hill/HarrisX,9,451 RV,1,Klobuchar,2
The Hill/HarrisX,9,451 RV,1,Yang,1
The Hill/HarrisX,9,451 RV,1,Steyer,1
The Hill/HarrisX,9,451 RV,1,Gabbard,1
The Hill/HarrisX,9,451 RV,1,Bennet,0
The Hill/HarrisX,9,451 RV,1,Patrick,NA
Politico/Morning Consult,10,17117,1,Biden,33
Politico/Morning Consult,10,17117,1,Sanders,20
Politico/Morning Consult,10,17117,1,Warren,14
Politico/Morning Consult,10,17117,1,Bloomberg,NA
Politico/Morning Consult,10,17117,1,Buttigieg,5
Politico/Morning Consult,10,17117,1,Klobuchar,1
Politico/Morning Consult,10,17117,1,Yang,2
Politico/Morning Consult,10,17117,1,Steyer,1
Politico/Morning Consult,10,17117,1,Gabbard,1
Politico/Morning Consult,10,17117,1,Bennet,1
Politico/Morning Consult,10,17117,1,Patrick,NA
FOX News,12,,1,Biden,31
FOX News,12,,1,Sanders,10
FOX News,12,,1,Warren,20
FOX News,12,,1,Bloomberg,NA
FOX News,12,,1,Buttigieg,3
FOX News,12,,1,Klobuchar,2
FOX News,12,,1,Yang,3
FOX News,12,,1,Steyer,1
FOX News,12,,1,Gabbard,1
FOX News,12,,1,Bennet,0
FOX News,12,,1,Patrick,NA
Economist/YouGov,12,RV,1,Biden,23
Economist/YouGov,12,RV,1,Sanders,16
Economist/YouGov,12,RV,1,Warren,20
Economist/YouGov,12,RV,1,Bloomberg,NA
Economist/YouGov,12,RV,1,Buttigieg,6
Economist/YouGov,12,RV,1,Klobuchar,1
Economist/YouGov,12,RV,1,Yang,2
Economist/YouGov,12,RV,1,Steyer,1
Economist/YouGov,12,RV,1,Gabbard,2
Economist/YouGov,12,RV,1,Bennet,1
Economist/YouGov,12,RV,1,Patrick,NA
CNN,17,402 RV,2,Biden,29
CNN,17,402 RV,2,Sanders,15
CNN,17,402 RV,2,Warren,14
CNN,17,402 RV,2,Bloomberg,NA
CNN,17,402 RV,2,Buttigieg,5
CNN,17,402 RV,2,Klobuchar,1
CNN,17,402 RV,2,Yang,1
CNN,17,402 RV,2,Steyer,1
CNN,17,402 RV,2,Gabbard,2
CNN,17,402 RV,2,Bennet,0
CNN,17,402 RV,2,Patrick,NA
Politico/Morning Consult,17,17115 RV,2,Biden,31
Politico/Morning Consult,17,17115 RV,2,Sanders,20
Politico/Morning Consult,17,17115 RV,2,Warren,15
Politico/Morning Consult,17,17115 RV,2,Bloomberg,NA
Politico/Morning Consult,17,17115 RV,2,Buttigieg,5
Politico/Morning Consult,17,17115 RV,2,Klobuchar,1
Politico/Morning Consult,17,17115 RV,2,Yang,3
Politico/Morning Consult,17,17115 RV,2,Steyer,1
Politico/Morning Consult,17,17115 RV,2,Gabbard,1
Politico/Morning Consult,17,17115 RV,2,Bennet,0
Politico/Morning Consult,17,17115 RV,2,Patrick,NA
Economist/YouGov,19,RV,2,Biden,22
