Candidate,Week,meanPCT,npolls
Bennet,0,0.166666667,6
Biden,0,30,6
Bloomberg,0,NA,6
Buttigieg,0,6.166666667,6
Gabbard,0,1.166666667,6
Klobuchar,0,1,6
Patrick,0,NA,6
Sanders,0,17.33333333,6
Steyer,0,0.5,6
Warren,0,16.33333333,6
Yang,0,1.5,6
Bennet,1,0.5,4
Biden,1,29.5,4
Bloomberg,1,NA,4
Buttigieg,1,4.5,4
Gabbard,1,1.25,4
Klobuchar,1,1.5,4
Patrick,1,NA,4
Sanders,1,15.5,4
Steyer,1,1,4
Warren,1,16,4
Yang,1,2,4
Bennet,2,0,4
Biden,2,25.25,4
Bloomberg,2,NA,4
Buttigieg,2,5.5,4
Gabbard,2,1.5,4
Klobuchar,2,0.75,4
Patrick,2,NA,4
Sanders,2,18.5,4
Steyer,2,0.5,4
Warren,2,16.75,4
Yang,2,2,4
Bennet,3,NA,7
Biden,3,30.71428571,7
Bloomberg,3,NA,7
Buttigieg,3,4.571428571,7
Gabbard,3,1.285714286,7
Klobuchar,3,0.857142857,7
Patrick,3,NA,7
Sanders,3,16.85714286,7
Steyer,3,0.571428571,7
Warren,3,15.85714286,7
Yang,3,2.571428571,7
Bennet,4,0.666666667,3
Biden,4,28.66666667,3
Bloomberg,4,NA,3
Buttigieg,4,5,3
Gabbard,4,1.333333333,3
Klobuchar,4,0.666666667,3
Patrick,4,NA,3
Sanders,4,15.33333333,3
Steyer,4,0.333333333,3
Warren,4,20.66666667,3
Yang,4,2.333333333,3
Bennet,5,0.571428571,7
Biden,5,27,7
Bloomberg,5,NA,7
Buttigieg,5,4.714285714,7
Gabbard,5,1.285714286,7
Klobuchar,5,1.142857143,7
Patrick,5,NA,7
Sanders,5,16.71428571,7
Steyer,5,0.714285714,7
Warren,5,16,7
Yang,5,2.857142857,7
Bennet,6,NA,5
Biden,6,30.2,5
Bloomberg,6,NA,5
Buttigieg,6,6.2,5
Gabbard,6,NA,5
Klobuchar,6,1.6,5
Patrick,6,NA,5
Sanders,6,16.6,5
Steyer,6,NA,5
Warren,6,19.8,5
Yang,6,3,5
Bennet,7,NA,6
Biden,7,27.83333333,6
Bloomberg,7,NA,6
Buttigieg,7,5.333333333,6
Gabbard,7,1,6
Klobuchar,7,1.333333333,6
Patrick,7,NA,6
Sanders,7,17.5,6
Steyer,7,0.666666667,6
Warren,7,21.33333333,6
Yang,7,3.333333333,6
Bennet,8,1,3
